Id,Title,Release_Date,Developers,Platforms,Genres,Rating,Plays
0,9:05,3-Jan-00,"['Adam Cadre', 'sub-Q Magazine']","['Windows PC', 'Mac', 'Linux', 'PC DOS', 'Web browser']","['Adventure', 'Indie']",3.3,38
1,2,6-May-14,['hubol'],['Windows PC'],"['Platform', 'Puzzle']",3.5,5
2,1066,26-May-09,['Preloaded'],['Web browser'],['Strategy'],0,4
3,1848,16-May-05,['Huszár Games (Hussar Games)'],['Windows PC'],"['Strategy', 'Turn Based Strategy']",0,0
4,1869,31-Dec-92,['Flair Software'],"['Amiga', 'PC DOS']","['Simulator', 'Strategy']",0,0
5,1942,30-Nov-84,"['Elite Systems', 'Capcom']","['PlayStation 3', 'Arcade', 'Wii', 'PC-8801', 'Game Boy Color', 'NES', 'FM-7', 'Sharp X1', 'Family Computer (FAMICOM)', 'Commodore C64/128', 'ZX Spectrum', 'MSX', 'Amstrad CPC']","['Arcade', 'Shooter']",2.5,540
6,1980,31-Aug-20,['Merxon22'],"['Windows PC', 'Mac']","['Indie', 'Strategy']",0,0
7,1999,31-Dec-87,"['Ice Cool Coders', 'Summit Software']",['ZX Spectrum'],['Shooter'],0,1
8,2048,9-Mar-14,"['Gabriele Cirulli', 'Solebon LLC']","['Android', 'iOS', 'Web browser']","['Indie', 'Puzzle', 'Strategy']",2.7,4600
9,3089,10-Jan-14,"[""Phr00t's Software""]","['Windows PC', 'Mac', 'Linux']","['Indie', 'RPG', 'Shooter']",2,12
10,Sep-99,10-Oct-18,['98DEMAKE'],"['Windows PC', 'Mac']",['Indie'],3.1,193
11,52573743,21-May-13,['Jake Clover'],['Windows PC'],['Indie'],3.1,10
12,"""Out"" file#01",11-May-06,['Tonakai Interactive'],['Web browser'],"['Point-and-Click', 'Puzzle']",0,1
13,#Blud,31-Dec-24,"['Humble Games', 'Exit 73 Studios']",['Windows PC'],"['Adventure', 'Brawler', 'Indie']",0,0
14,#Breakforcist Battle,12-Apr-18,['Lucid Sheep Games'],['Nintendo Switch'],"['Arcade', 'Indie', 'Puzzle']",0,6
15,#Drive,16-Mar-19,['Pixel Perfect Dude'],"['Android', 'iOS', 'Nintendo Switch']","['Arcade', 'Racing', 'Simulator']",0,5
16,#Funtime,15-Jul-20,"['OneGuyGames', 'The Quantum Astrophysicists Guild']","['Windows PC', 'Mac', 'Linux', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Arcade', 'Indie', 'Music', 'Shooter']",2.5,7
17,#RaceDieRun,9-Aug-19,['QubicGames S.A.'],['Nintendo Switch'],"['Arcade', 'Racing', 'Sport']",2.3,19
18,(Another) Shadow the Hedgehog in Sonic the Hedgehog,18-Jan-19,['AsuharaMoon'],['Sega Mega Drive/Genesis'],['Platform'],0,2
19,...Iru!,26-Mar-98,"['Soft Machine', 'Takara']",['PlayStation'],['Adventure'],3.2,68
20,.Decluster: Into the Bullet Hell,1-Mar-15,['Masayuki Ito'],['iOS'],"['Arcade', 'Indie', 'Shooter']",0,1
21,.Flow,15-Feb-09,['lol'],['Windows PC'],"['Adventure', 'Indie']",4.1,488
22,.Hack//Frägment,23-Nov-05,"['CyberConnect2', 'Bandai']",['PlayStation 2'],"['Adventure', 'Brawler', 'RPG']",3.2,17
23,.Hack//G.U. Last Recode,3-Nov-17,"['CyberConnect2', 'Bandai Namco Entertainment']","['Windows PC', 'PlayStation 4', 'Nintendo Switch']","['Adventure', 'RPG']",3.8,435
24,.Hack//G.U. Vol. 1: Rebirth,18-May-06,"['CyberConnect2', 'Namco Bandai Games']",['PlayStation 2'],['RPG'],3.5,362
25,.Hack//G.U. Vol. 1: Rebirth HD,1-Nov-17,"['CyberConnect2', 'NAMCO BANDAI Games Inc.']","['Windows PC', 'PlayStation 4']",['RPG'],3.3,22
26,.Hack//G.U. Vol. 2: Reminisce,28-Sep-06,"['CyberConnect2', 'Namco Bandai Games']",['PlayStation 2'],['RPG'],3.7,259
27,.Hack//G.U. Vol. 3: Redemption,18-Jan-07,"['CyberConnect2', 'Namco Bandai Games']",['PlayStation 2'],['RPG'],3.8,229
28,.Hack//Infection,20-Jun-02,"['CyberConnect2', 'Bandai']",['PlayStation 2'],"['Brawler', 'RPG']",3.4,673
